,0
352,gurgan
353,vanavara
354,kibaya
355,martapura
356,nelson bay
357,corinto
358,komsomolskiy
359,amderma
360,koutsouras
361,sulina
362,katobu
363,olafsvik
364,samarai
365,kalamakion
366,leshukonskoye
367,bayir
368,santa cruz
369,dongsheng
370,pilar
371,dunedin
372,hami
373,ahipara
374,anadyr
375,muscat
376,saskylakh
377,arlit
378,maceio
379,lagoa
380,shiyan
381,ipubi
382,copenhagen
383,jiwani
384,gondanglegi
385,batemans bay
386,rawson
387,honiara
388,aripuana
389,lata
390,salalah
391,maxixe
392,krasnogvardeyskoye
393,maningrida
394,chokurdakh
395,opuwo
396,cayenne
397,kuliyapitiya
398,mount pleasant
399,kralendijk
400,puerto escondido
401,tecuala
402,ostrovnoy
403,luocheng
404,colombo
405,stornoway
406,benjamin constant
407,bilibino
408,mount gambier
409,ketchikan
410,nacozari
411,provideniya
412,talnakh
413,westport
414,chingola
415,chelno-vershiny
416,waipawa
417,barawe
418,panaba
419,mae sot
420,sao joao da barra
421,kumluca
422,buariki
423,zabid
424,panguna
425,pangnirtung
426,sierra vista
427,ucluelet
428,roros
429,inta
430,hofn
431,acapulco
432,dongning
433,jurmala
434,santo antonio do ica
435,nalut
436,goundam
437,hualmay
438,bukachacha
439,divnogorsk
440,chagoda
441,elko
442,gurupa
443,tual
444,sisimiut
445,adrar
446,fayaoue
447,iquique
448,namatanai
449,henties bay
450,itarema
451,grand gaube
452,havoysund
453,bose
454,kulaman
455,isangel
456,peace river
457,banda aceh
458,albania
459,ust-kuyga
460,havre-saint-pierre
461,laguna
462,hamilton
463,grindavik
464,helong
465,karamay
466,portalegre
467,westpunt
468,lixourion
469,mayo
470,porangatu
471,usinsk
472,louisbourg
473,yashalta
474,marsh harbour
475,manoel urbano
476,denpasar
477,ughelli
478,niteroi
479,loksa
480,manggar
481,dingle
482,maamba
483,gat
484,chhaprauli
485,chojnice
486,brazzaville
487,riyadh
488,mabaruma
489,aykhal
490,mantena
491,puerto cabezas
492,bambanglipuro
493,envira
494,koupela
495,yerbogachen
496,talcahuano
497,rafaela
498,joensuu
499,karabulak
500,ukiah
501,luderitz
502,skibbereen
503,teguldet
504,virginia beach
505,suntar
506,keetmanshoop
507,mendahara
508,alzamay
509,tazovskiy
510,leningradskiy
511,sao lourenco do sul
512,palompon
513,jambi
514,marcona
515,solnechnyy
516,kodinsk
517,trincomalee
518,parrita
519,kuche
520,hornepayne
521,athabasca
522,qaqortoq
523,ulverstone
524,port-gentil
525,callander
526,natal
527,abu samrah
528,sadon
529,houma
530,resistencia
531,tasbuget
532,samoded
533,sioux lookout
534,vineland
535,igarka
536,khipro
537,rawannawi
538,kampene
539,nizhniy odes
540,petrolina
541,praia da vitoria
542,juba
543,erdenet
544,dalby
545,arrecife
546,la ronge
547,ngunguru
548,wahran
549,maldonado
550,williston
551,bilma
552,antofagasta
553,acajutla
554,dien bien
555,plouzane
556,port hardy
557,amapa
558,challans
559,linxia
560,sun valley
561,borovskoy
562,souillac
563,nuuk
564,crab hill
565,cuiluan
566,manokwari
567,constitucion
568,puerto carreno
569,paralimni
570,tautira
571,vohma
572,sola
573,itacoatiara
574,semenivka
575,shirokiy
576,vostok
577,harlingen
578,waingapu
579,laredo
580,iwanai
581,teluknaga
582,chapais
583,kirakira
584,pocri
585,riachao das neves
586,duz
587,channahon
588,mys shmidta
589,tessalit
590,misawa
591,panubigan
592,poum
593,peniche
594,grand centre
595,dondo
596,marrakesh
597,glenwood springs
598,kondinskoye
599,barao de melgaco
600,bouca
601,nantucket
602,karpogory
603,bartica
604,nizhnevartovsk
605,chivacoa
606,ziway
